Date,Open,High,Low,Close,Volume
08/13/2019,"6,000","6,040","6,000","6,015","84,405,994"
08/12/2019,"6,070","6,080","6,000","6,040","52,704,999"
08/09/2019,"6,055","6,120","6,055","6,065","48,118,499"
08/08/2019,"6,010","6,080","5,980","6,005","58,295,499"
08/07/2019,"5,975","6,050","5,905","6,010","92,101,999"
08/06/2019,"5,880","5,955","5,765","5,880","183,295,992"
08/05/2019,"6,215","6,215","6,000","6,000","90,924,004"
08/02/2019,"6,160","6,205","6,160","6,165","62,989,499"
08/01/2019,"6,190","6,270","6,185","6,210","78,227,999"
07/31/2019,"6,190","6,240","6,180","6,190","64,128,999"
07/30/2019,"6,205","6,250","6,190","6,220","38,225,499"
07/29/2019,"6,220","6,230","6,160","6,190","68,509,499"
07/26/2019,"6,250","6,250","6,190","6,195","51,797,499"
07/25/2019,"6,270","6,275","6,200","6,250","53,477,499"
07/24/2019,"6,260","6,265","6,165","6,250","51,343,499"
07/23/2019,"6,240","6,290","6,205","6,235","39,129,499"
07/22/2019,"6,260","6,290","6,200","6,290","37,314,499"
07/19/2019,"6,195","6,210","6,150","6,200","43,973,499"
07/18/2019,"6,100","6,170","6,055","6,145","43,625,499"
07/17/2019,"6,080","6,150","6,045","6,150","45,486,999"
07/16/2019,"6,080","6,105","6,070","6,085","38,074,999"
07/15/2019,"6,060","6,115","6,035","6,105","61,453,499"
07/12/2019,"6,000","6,030","5,995","6,010","29,838,000"
07/11/2019,"6,020","6,025","5,980","6,025","34,279,499"
07/10/2019,"6,000","6,040","5,995","6,000","52,183,499"
07/09/2019,"5,870","6,000","5,870","6,000","47,740,499"
07/08/2019,"5,935","5,960","5,865","5,880","38,360,999"
07/05/2019,"6,020","6,020","5,970","5,970","32,722,500"
07/04/2019,"6,000","6,010","5,965","5,990","28,224,500"
07/03/2019,"5,950","6,000","5,940","6,000","43,639,999"
07/02/2019,"5,990","6,000","5,950","6,000","48,563,499"
07/01/2019,"5,995","6,025","5,965","5,990","56,612,499"
06/28/2019,"5,980","5,995","5,960","5,995","80,918,999"
06/27/2019,"5,850","5,935","5,805","5,935","77,524,999"
06/26/2019,"5,940","5,940","5,860","5,865","59,334,499"
06/25/2019,"5,930","5,960","5,875","5,910","40,561,499"
06/24/2019,"5,895","5,900","5,865","5,875","30,084,000"
06/21/2019,"5,910","5,935","5,840","5,880","144,149,003"
06/20/2019,"5,900","5,940","5,805","5,910","59,504,499"
06/19/2019,"5,900","5,960","5,890","5,940","66,944,499"
06/18/2019,"5,795","5,900","5,795","5,900","78,787,999"
